m,r,rho,T,P,l,epsilon,kappa,grad_ad,grad_rad,grad_act,nature
3.9704834201942293e+33,83070362801.69067,0.012756997153585903,1527991.3686518031,2618952334570.5356,5.776294058425952e+34,2.2072396638734726e-09,8.38360208629793,0.4,0.23102552816898123,0.23102552816898123,RAD
3.9707367593831035e+33,83302579752.2644,0.012336678042590195,1512710.9162241344,2507379428360.88,5.776294058426004e+34,1.9471133802263556e-09,8.399777912868416,0.4,0.23068625211088933,0.23068625211088933,RAD
3.9709900985719777e+33,83541489736.20683,0.011916600517435849,1497102.355768407,2397054157642.372,5.77629405842605e+34,1.7100609297020346e-09,8.415920519120673,0.4,0.23030501964190428,0.23030501964190428,RAD
3.971243437760852e+33,83787539870.36105,0.011496725896209902,1481147.7294484882,2287995141509.7295,5.776294058426091e+34,1.4947696605239175e-09,8.431952607028816,0.4,0.2298751085380984,0.2298751085380984,RAD
3.971496776949726e+33,84041225814.40385,0.011077010530287703,1464827.6083403828,2180222162440.0403,5.776294058426126e+34,1.2999557988718731e-09,8.44777553086208,0.4,0.2293884492889404,0.2293884492889404,RAD
3.971752284723612e+33,84305377972.90239,0.010653813467591167,1447976.2086569937,2072850645914.759,5.776294058426157e+34,1.1229412773058535e-09,8.463393996568625,0.4,0.22883024365059576,0.22883024365059576,RAD
3.9720077924974974e+33,84578491550.18083,0.01023067036467747,1430708.21972209,1966831792909.7292,5.776294058426184e+34,9.642241234994963e-10,8.478505917527105,0.4,0.2281922433032646,0.2281922433032646,RAD
3.972216340436707e+33,84808544182.9684,0.009885291180793735,1416287.539416168,1881317918570.1462,5.7762940584262025e+34,8.473865397362868e-10,8.490318642103512,0.4,0.2276020987325845,0.2276020987325845,RAD
3.972424888375916e+33,85045471503.34492,0.009539863428206004,1401557.5847295085,1796735973139.1882,5.776294058426219e+34,7.412719662466986e-10,8.501507604541136,0.4,0.22693916042952003,0.22693916042952003,RAD
3.9726334363151254e+33,85289752858.92958,0.009194341342635616,1386502.4748380808,1713101203989.5632,5.776294058426234e+34,6.452446857471641e-10,8.511892923570826,0.4,0.2261917670162222,0.2261917670162222,RAD
3.9728419842543347e+33,85541922182.81384,0.008848673278650845,1371105.2618492008,1630429854631.7776,5.776294058426247e+34,5.586836711955437e-10,8.521251511770016,0.4,0.2253459372247467,0.2253459372247467,RAD
3.973050532193544e+33,85802576864.07915,0.008502800725389415,1355347.8909021546,1548739274850.991,5.776294058426258e+34,4.809828454045873e-10,8.529305547732013,0.4,0.2243848184157488,0.2243848184157488,RAD
3.9732672265630246e+33,86083124071.31247,0.008143129326911865,1338572.86402103,1464916588985.4448,5.776294058426267e+34,4.08999013757343e-10,8.535918302238485,0.4,0.22324205761908406,0.22324205761908406,RAD
3.9734472531774723e+33,86324326904.48734,0.007844035802596754,1324308.6246723249,1396114479772.9167,5.7762940584262735e+34,3.5552219393675345e-10,8.53970525656078,0.4,0.22216126632375344,0.22216126632375344,RAD
3.97362727979192e+33,86573493509.90587,0.007544625559018136,1309732.2883994891,1328086340327.2207,5.776294058426279e+34,3.074018334585492e-10,8.54157044882584,0.4,0.2209405766758563,0.2209405766758563,RAD
3.9738073064063676e+33,86831244130.59694,0.007244835449607796,1294829.6369079368,1260846951557.3594,5.776294058426285e+34,2.6428668895139303e-10,8.541080334828884,0.4,0.21955663287130534,0.21955663287130534,RAD
3.9739873330208153e+33,87098278574.12698,0.0069445938560174555,1279586.0617526472,1194412178929.187,5.776294058426289e+34,2.2583465749933908e-10,8.53769899011366,0.4,0.217981326873875,0.217981326873875,RAD
3.974167359635263e+33,87375390875.54428,0.006643819270942724,1263986.7544576817,1128799108568.616,5.776294058426293e+34,1.9171296347897153e-10,8.530760583808709,0.4,0.21618068016492795,0.21618068016492795,RAD
3.9741962983250007e+33,87420935104.82689,0.006595414941056612,1261445.0358496434,1118329901014.5984,5.776294058426294e+34,1.866101468116677e-10,8.529260249131447,0.4,0.21586755452176118,0.21586755452176118,RAD
3.9742252370147384e+33,87466766948.56105,0.006546994045234364,1258893.6835691885,1107882480044.2937,5.776294058426295e+34,1.8160953157023885e-10,8.527806531153312,0.4,0.2155515002907591,0.2155515002907591,RAD
3.974230989263896e+33,87475911739.97708,0.006537367703261552,1258385.300999197,1105808410772.1792,5.776294058426295e+34,1.8062749264423248e-10,8.530093852793472,0.4,0.21555334036161983,0.21555334036161983,RAD
3.9742548301464657e+33,87513937019.41393,0.0064974718548059755,1256272.4701303795,1097221408966.627,5.776294058426295e+34,1.7659753182057777e-10,8.539620118265598,0.4,0.21556113127354726,0.21556113127354726,RAD
3.974374034559315e+33,87707123989.85257,0.006298031165070922,1245565.3237465085,1054510828874.5742,5.776294058426297e+34,1.5740058666028347e-10,8.588403982050604,0.4,0.21560431419323028,0.21560431419323028,RAD
3.9744932389721646e+33,87905638610.26028,0.006098648872331503,1234609.558680706,1012178709324.568,5.776294058426298e+34,1.3973604028684138e-10,8.639222408924395,0.4,0.215655362125728,0.215655362125728,RAD
3.974612443385014e+33,88109813957.48381,0.005899316416207772,1223390.0333182379,970231332854.5934,5.7762940584263e+34,1.235288677272228e-10,8.692246006845915,0.4,0.21571556161484579,0.21571556161484579,RAD
3.9747311475915926e+33,88319121259.56201,0.00570086065305248,1211938.938969442,928848890065.5901,5.776294058426301e+34,1.0876463877246588e-10,8.74742990024529,0.4,0.21578613337828137,0.21578613337828137,RAD
3.974849851798171e+33,88534804495.10223,0.0055024349616713845,1200191.5602005543,887861496186.2031,5.776294058426302e+34,9.530062169181095e-11,8.80520851745769,0.4,0.21586914770161145,0.21586914770161145,RAD
3.974935175619507e+33,88694020452.05618,0.005359820287558208,1191553.3818412235,858648160084.285,5.776294058426303e+34,8.638642439477466e-11,8.848479524193497,0.4,0.21593773433320892,0.21593773433320892,RAD
3.974958613092798e+33,88738395279.3892,0.005320646819833711,1189150.8811867617,850660369872.6416,5.776294058426303e+34,8.404558957344957e-11,8.860636028354174,0.4,0.21595802638486952,0.21595802638486952,RAD
3.9749820505660894e+33,88783053198.50511,0.00528147352675695,1186735.2826236696,842688545012.5221,5.776294058426303e+34,8.175023198704045e-11,8.872492638000299,0.4,0.21596872259321065,0.21596872259321065,RAD
3.9750209223714773e+33,88857754696.5314,0.005216501796432249,1182699.9385027057,829502381769.0103,5.776294058426303e+34,7.804236521205708e-11,8.891796309523635,0.4,0.2159723422650083,0.2159723422650083,RAD
3.975118066513518e+33,89048018361.24072,0.0050541184509063945,1172452.345930134,796743645817.417,5.776294058426304e+34,6.93022022757117e-11,8.941210728345421,0.4,0.21597964268012831,0.21597964268012831,RAD
3.975215210655559e+33,89243646794.68243,0.004891707966353942,1161961.176642141,764266762079.998,5.776294058426305e+34,6.128384125422849e-11,8.992389508219176,0.4,0.2159840486654194,0.2159840486654194,RAD
3.9753123547976e+33,89444984414.8752,0.004729259002980793,1151211.7316045717,732076678813.6327,5.776294058426306e+34,5.3950606784993586e-11,9.045453153328669,0.4,0.21598496825357422,0.21598496825357422,RAD
3.975405944999691e+33,89644710630.6092,0.004572705046041395,1140596.201864416,701340389730.5813,5.776294058426307e+34,4.749992120039159e-11,9.098481785337553,0.4,0.21598188366911292,0.21598188366911292,RAD
3.9754995352017824e+33,89850463846.93896,0.004416091452433134,1129710.0964724622,670880126609.8605,5.776294058426307e+34,4.161991174296151e-11,9.153512801224904,0.4,0.2159741054729129,0.2159741054729129,RAD
3.9755931254038736e+33,90062659683.83455,0.0042594045991114935,1118535.9272684918,640701157346.465,5.776294058426307e+34,3.6279370913575066e-11,9.210689156485982,0.4,0.21596066800863906,0.21596066800863906,RAD
3.9756697555273566e+33,90241520791.31903,0.004131046908420671,1109158.7510660356,616204469587.0139,5.776294058426307e+34,3.228684031457855e-11,9.259211208034728,0.4,0.2159446276317865,0.2159446276317865,RAD
3.9757463856508397e+33,90425289581.97368,0.004002620880334548,1099563.8832315523,591903369146.005,5.776294058426307e+34,2.8618855408129378e-11,9.309370992036555,0.4,0.2159232074863424,0.2159232074863424,RAD
3.9758230157743227e+33,90614273089.9349,0.003874116524125533,1089738.6055871858,567801294324.944,5.776294058426307e+34,2.525912205405055e-11,9.361270685212173,0.4,0.21589545637423818,0.21589545637423818,RAD
3.975899645897806e+33,90808809238.73413,0.0037455228746946924,1079668.9973210257,543901881111.7516,5.776294058426307e+34,2.2191609542805464e-11,9.415021043133157,0.4,0.21586022728513332,0.21586022728513332,RAD
3.9759735523654436e+33,91002040137.20259,0.0036214039352336033,1069711.5403649886,521047511518.55634,5.776294058426307e+34,1.9495195105725327e-11,9.468726423818172,0.4,0.21581786645487336,0.21581786645487336,RAD
3.9760474588330815e+33,91201153239.06519,0.003497178773152996,1059497.536010912,498388901884.5112,5.776294058426307e+34,1.7042039949181314e-11,9.524381374125793,0.4,0.2157657401988945,0.2157657401988945,RAD
3.9761213653007194e+33,91406559035.8448,0.0033728341978559798,1049010.3946017104,475929945498.6883,5.776294058426307e+34,1.481849317018841e-11,9.582111594788705,0.4,0.21570199832973402,0.21570199832973402,RAD
3.9761820042779194e+33,91580109653.67117,0.00327071222586849,1040189.0828185045,457654770298.7586,5.776294058426307e+34,1.3156175090060123e-11,9.631122834763469,0.4,0.2156394451891351,0.2156394451891351,RAD
3.9762426432551194e+33,91758481886.51544,0.0031684911518055315,1031160.4933251825,439519212079.3383,5.776294058426307e+34,1.1632130580317664e-11,9.681701727386717,0.4,0.21556603449003942,0.21556603449003942,RAD
3.9763032822323193e+33,91941982184.49628,0.003066161229304734,1021912.5130591136,421525835677.748,5.776294058426307e+34,1.0239207490070028e-11,9.73393237222418,0.4,0.21547994908130616,0.21547994908130616,RAD
3.9763639212095193e+33,92130948376.67224,0.002963711749750812,1012431.8955636988,403677356470.8037,5.776294058426307e+34,8.970376021484743e-12,9.787903066624716,0.4,0.2153790022856081,0.2153790022856081,RAD
3.9764225450262897e+33,92319182340.94946,0.0028645421271049284,1003031.5241081261,386562481055.30286,5.776294058426307e+34,7.8551924720124e-12,9.841820957346425,0.4,0.21526479680690938,0.21526479680690938,RAD
3.97648116884306e+33,92513248366.17374,0.0027652379478505275,993385.7421361525,369588488725.77515,5.776294058426307e+34,6.843411360827647e-12,9.897536835326648,0.4,0.21513132625038547,0.21513132625038547,RAD
3.9765397926598305e+33,92713562274.57628,0.0026657861634491234,983478.7084802601,352758319958.93164,5.776294058426307e+34,5.92902296907977e-12,9.955137648322962,0.4,0.21497505293143992,0.21497505293143992,RAD
3.9765880929613134e+33,92883622163.07736,0.0025837264885275285,975107.6887546893,339002177833.1559,5.776294058426307e+34,5.244662355079899e-12,10.004072473833002,0.4,0.21482612636221404,0.21482612636221404,RAD
3.976636393262796e+33,93058524582.66228,0.002501547833207687,966536.8028108628,325347652048.5372,5.776294058426307e+34,4.619178270075586e-12,10.05439207253708,0.4,0.21465585595326028,0.21465585595326028,RAD
3.976684693564279e+33,93238586326.98419,0.002419240343540176,957754.3978098717,311796714195.4999,5.776294058426307e+34,4.049394291701216e-12,10.106139824003124,0.4,0.2144607256002231,0.2144607256002231,RAD
3.976732993865762e+33,93424157673.88905,0.002336793150979001,948747.7568214703,298351455628.99036,5.776294058426307e+34,3.5321924243770788e-12,10.159353623804188,0.4,0.21423650212105713,0.21423650212105713,RAD
3.976781445510322e+33,93616237050.44826,0.002253935155084738,939473.6126698263,284972480781.43933,5.776294058426307e+34,3.0631237836003585e-12,10.214236533862918,0.4,0.2139771878359728,0.2139771878359728,RAD
3.976829897154882e+33,93814689262.58307,0.002170910957107524,929944.4310371589,271704478000.29,5.776294058426307e+34,2.640865043315614e-12,10.27064050752032,0.4,0.21367712353062612,0.21367712353062612,RAD
3.976870152859199e+33,93984768609.13434,0.0021017937012612095,921821.1087386878,260767083759.2734,5.776294058426307e+34,2.3235094759298223e-12,10.318658810611856,0.4,0.21339130908985185,0.21339130908985185,RAD
3.976910408563516e+33,94159896806.02943,0.0020325417020628793,913499.480940754,249909616653.75958,5.776294058426307e+34,2.0347575017454124e-12,10.367709435425157,0.4,0.21306664616880427,0.21306664616880427,RAD
3.9769506642678335e+33,94340419927.2622,0.0019631443204493506,904968.0397038783,239133734455.9557,5.776294058426307e+34,1.7729770495791394e-12,10.417758254533787,0.4,0.2126966562272949,0.2126966562272949,RAD
3.9769909199721506e+33,94526722529.06398,0.0018935897463481762,896214.2744089484,228441201044.15424,5.776294058426307e+34,1.5365687626565961e-12,10.468746745046799,0.4,0.21227351581807338,0.21227351581807338,RAD
3.9770327826443527e+33,94727054046.95323,0.001821077722878571,886860.6035703308,217412261825.23566,5.776294058426307e+34,1.3159523568479674e-12,10.52266862547788,0.4,0.211766869636589,0.211766869636589,RAD
3.977067316812564e+33,94897751941.54951,0.0017611092856065782,878940.516351955,208385036970.09778,5.776294058426307e+34,1.1521149697991642e-12,10.567733985526386,0.4,0.211288682514145,0.211288682514145,RAD
3.977101850980776e+33,95073727625.08444,0.0017009937432738874,870825.2419979969,199423435843.12366,5.776294058426307e+34,1.0036803200632324e-12,10.613197919286035,0.4,0.21074652352028866,0.21074652352028866,RAD
3.9771363851489875e+33,95255359895.81279,0.0016407194838685614,862503.7987369514,190528905761.4758,5.776294058426307e+34,8.69722751171133e-13,10.658895906371225,0.4,0.2101296103707216,0.2101296103707216,RAD
3.977170919317199e+33,95443071849.67485,0.0015802735378318273,853964.3527205879,181702991555.9119,5.776294058426307e+34,7.493367045307113e-13,10.704607802578654,0.4,0.20942490401529545,0.20942490401529545,RAD
3.9772054534854107e+33,95637338267.71062,0.0015196413509713802,845194.1601599755,172947346716.15036,5.776294058426307e+34,6.416372348773145e-13,10.75004058618938,0.4,0.20861654186007228,0.20861654186007228,RAD
3.9772378128305515e+33,95825793669.19821,0.0014626439639014019,836754.7102186718,164808443266.7896,5.776294058426307e+34,5.514658080712137e-13,10.79201496436229,0.4,0.2077478245058937,0.2077478245058937,RAD
3.9772701721756923e+33,96020970981.0923,0.001405453415425637,828088.5697441007,156734363788.71243,5.776294058426307e+34,4.70981426393556e-13,10.832983598187514,0.4,0.20675154752837294,0.20675154752837294,RAD
3.977302531520833e+33,96223432928.66864,0.0013480524680849007,819182.8947547546,148726795840.6569,5.776294058426307e+34,3.995079660424145e-13,10.872398300387646,0.4,0.20560381045217194,0.20560381045217194,RAD
3.977334890865974e+33,96433819786.73521,0.0012904215303201543,810024.087717288,140787560712.12607,5.776294058426307e+34,3.3638700027700037e-13,10.909542557018224,0.4,0.2042751987084459,0.2042751987084459,RAD
3.977367250211115e+33,96652864770.83058,0.001232538211526098,800597.8671394772,132918631575.01463,5.776294058426307e+34,2.809783152783427e-13,10.943476935672068,0.4,0.20272928618291255,0.20272928618291255,RAD
